time_key,open,close,high,low,volume
2025-02-17,65.0,66.55,67.95,64.15,25367878
2025-02-18,67.55,68.35,69.9,66.4,21356846
2025-02-19,69.6,71.1,72.65,67.45,28089172
2025-02-20,70.6,68.15,72.0,67.85,18268381
2025-02-21,69.7,71.9,72.2,68.65,21489135
2025-02-24,71.9,72.25,74.6,70.4,22730525
2025-02-25,70.25,75.45,77.85,69.0,39492032
2025-02-26,75.7,81.7,83.1,75.6,43617595
2025-02-27,88.0,86.75,90.0,83.55,54478640
2025-02-28,86.75,79.8,86.95,79.25,46948283
2025-03-03,83.8,81.35,86.0,80.45,37669292
2025-03-04,78.15,78.9,80.9,75.85,30236122
2025-03-05,79.65,82.05,82.7,78.3,21774480
2025-03-06,85.35,86.05,87.8,83.6,27155286
2025-03-07,87.35,90.0,92.55,85.25,36509654
2025-03-10,92.5,89.25,96.35,88.6,41839199
2025-03-11,89.0,96.6,97.45,88.4,34727672
2025-03-12,102.8,92.3,106.0,91.9,45019819
